jurisdiccion;ID1;sector;ambito;presentismo;respondente;matricula del marco;participa
2;400020040002004;Privado;Urbano;49;49;62;1
2;600060060006006;Estatal;Urbano;37;37;47;1
2;800012008000120;Privado;Urbano;25;25;26;1
2;120003000120003;Privado;Urbano;47;47;53;1
2;160005600160005;Privado;Urbano;82;82;86;1
2;180007200180007;Estatal;Urbano;36;36;45;1
2;200009000200009;Estatal;Urbano;46;36;57;1
2;220001100022000;Estatal;Urbano;46;45;62;1
2;165003000016500;Estatal;Urbano;19;19;19;1
2;192003200019200;Estatal;Urbano;27;27;41;1
2;357004200035700;Privado;Urbano;16;16;16;1
2;396004400039600;Estatal;Urbano;10;10;21;1
2;572005200057200;Estatal;Urbano;21;18;48;1
2;621005400062100;Estatal;Urbano;22;22;26;1
2;672005600067200;Estatal;Urbano;36;36;44;1
2;725005800072500;Estatal;Urbano;25;24;29;1
2;896006400089600;Privado;Urbano;48;48;63;1
2;957006600095700;Privado;Urbano;23;23;25;1
2;108500700001085;Privado;Urbano;26;26;27;1
2;122100740001221;Privado;Urbano;28;28;28;1
2;129200760001292;Privado;Urbano;23;23;28;1
2;159600840001596;Estatal;Urbano;70;66;79;1
2;167700860001677;Estatal;Urbano;20;20;23;1
2;176000880001760;Estatal;Urbano;38;38;53;1
2;184500900001845;Estatal;Urbano;21;21;23;1
2;193200920001932;Estatal;Urbano;20;20;27;1
2;202100940002021;Estatal;Urbano;21;20;27;1
2;230000100000230;Estatal;Urbano;14;14;20;1
2;239700102000239;Privado;Urbano;29;29;34;1
2;249600104000249;Estatal;Urbano;14;14;19;1
2;259700106000259;Privado;Urbano;45;45;47;1
2;270000108000270;Estatal;Urbano;39;35;46;1
2;280500110000280;Estatal;Urbano;16;16;17;1
2;302100114000302;Estatal;Urbano;39;38;51;1
2;313200116000313;Privado;Urbano;22;22;24;1
2;336000120000336;Estatal;Urbano;18;17;24;1
2;422100134000422;Estatal;Urbano;25;25;35;1
2;448500138000448;Privado;Urbano;24;24;31;1
2;532500150000532;Estatal;Urbano;20;20;24;1
2;547200152000547;Privado;Urbano;40;40;40;1
2;562100154000562;Estatal;Urbano;34;33;41;1
2;623700162000623;Estatal;Urbano;21;21;24;1
2;705200172000705;Privado;Urbano;21;21;23;1
2;722100174000722;Privado;Urbano;66;66;66;1
2;756500178000756;Estatal;Urbano;34;33;39;1
2;774000180000774;Estatal;Urbano;19;19;24;1
2;791700182000791;Privado;Urbano;11;11;12;1
2;827700186000827;Estatal;Urbano;52;52;60;1
2;846000188000846;Estatal;Urbano;52;40;91;1
2;864500190000864;Privado;Urbano;29;29;32;1
2;940500198000940;Privado;Urbano;28;28;32;1
2;999600204000999;Privado;Urbano;44;41;45;1
2;101970020600010;Privado;Urbano;20;20;21;1
2;200110000200110;Privado;Urbano;44;43;54;1
2;600330600600330;Privado;Urbano;53;53;66;1
2;800441200800441;Estatal;Urbano;39;39;46;1
2;100055200010005;Privado;Urbano;27;27;31;1
2;220111210002201;Estatal;Urbano;21;21;23;1
2;166500300151665;Estatal;Urbano;58;54;68;1
2;179200320161792;Estatal;Urbano;24;24;26;1
2;192100340171921;Estatal;Urbano;16;16;21;1
2;205200360182052;Privado;Urbano;41;41;46;1
2;218500380192185;Privado;Urbano;43;43;48;1
2;232000400202320;Privado;Urbano;27;27;27;1
2;259600440222596;Privado;Urbano;108;104;124;1
2;288000480242880;Estatal;Urbano;36;0;47;0
2;302500500253025;Estatal;Urbano;48;47;57;1
2;332100540273321;Privado;Urbano;51;51;53;1
2;362500580293625;Privado;Urbano;17;17;21;1
2;378000600303780;Privado;Urbano;50;49;57;1
2;393700620313937;Privado;Urbano;0;0;26;0
2;409600640324096;Estatal;Urbano;22;21;23;1
2;442000680344420;Estatal;Urbano;14;14;18;1
2;526500780395265;Estatal;Urbano;45;45;51;1
2;544000800405440;Estatal;Urbano;36;36;57;1
2;579600840425796;Privado;Urbano;0;0;33;0
2;597700860435977;Estatal;Urbano;43;42;50;1
2;616000880446160;Estatal;Urbano;32;32;35;1
2;634500900456345;Estatal;Urbano;18;18;24;1
2;653200920466532;Privado;Urbano;28;28;28;1
2;730000100050730;Privado;Urbano;34;34;41;1
2;810000108054810;Privado;Urbano;56;56;64;1
2;872100114057872;Estatal;Urbano;56;56;62;1
2;893200116058893;Estatal;Urbano;43;43;52;1
2;957700122061957;Privado;Urbano;22;22;24;1
2;102400012806410;Estatal;Urbano;47;46;53;1
2;104650013006510;Estatal;Urbano;14;14;15;1
2;113850013806911;Estatal;Urbano;51;49;58;1
2;116200014007011;Estatal;Urbano;21;19;21;1
2;118570014207111;Estatal;Urbano;27;26;32;1
2;120960014407212;Privado;Urbano;10;9;10;1
2;123370014607312;Estatal;Urbano;39;16;42;1
2;135720015607813;Privado;Urbano;38;19;40;1
2;145960016408214;Privado;Urbano;43;43;46;1
2;153850017008515;Estatal;Urbano;20;19;20;1
2;161920017608816;Estatal;Urbano;21;21;22;1
2;164650017808916;Estatal;Urbano;23;23;25;1
2;167400018009016;Estatal;Urbano;43;0;44;0
2;175770018609317;Estatal;Urbano;26;26;33;1
2;178600018809417;Privado;Urbano;40;40;41;1
2;187210019409718;Estatal;Urbano;18;18;25;1
2;190120019609819;Privado;Urbano;11;11;11;1
2;196000020010019;Estatal;Urbano;32;32;37;1
2;201960020410220;Privado;Urbano;27;27;28;1
2;204970020610320;Privado;Urbano;24;24;25;1
